participant,level,obj,x,y,success
5b96dd68d193e30001b3cb69,Basic_1,445.6,101.4,obj2,0
5b96dd68d193e30001b3cb69,Basic_1,189.6,233.4,obj2,1
5b96dd68d193e30001b3cb69,Basic_2,404.6,232.4,obj3,1
5b96dd68d193e30001b3cb69,Comp_GapCatapult,303.6,502.4,obj2,0
5b96dd68d193e30001b3cb69,Comp_GapCatapult,469.6,575.4,obj1,0
5b96dd68d193e30001b3cb69,Comp_GapCatapult,318.6,575.4,obj2,0
5b96dd68d193e30001b3cb69,Comp_SoCloseLaunch,260.6,290.4,obj1,0
5b96dd68d193e30001b3cb69,Comp_SoCloseLaunch,256.6,263.4,obj3,1
5b96dd68d193e30001b3cb69,Comp_UnboxSlope,476.6,419.4,obj2,0
5b96dd68d193e30001b3cb69,Comp_UnboxSlope,313.6,414.4,obj2,1
5b96dd68d193e30001b3cb69,Mech_Catapult_0,435.6,562.4,obj2,1
5b96dd68d193e30001b3cb69,Mech_Catapult_1,437.6,555.4,obj3,0
5b96dd68d193e30001b3cb69,Mech_Catapult_1,433.6,562.4,obj3,1
5b96dd68d193e30001b3cb69,Mech_Catapult_2,357.6,556.4,obj2,0
5b96dd68d193e30001b3cb69,Mech_Catapult_2,340.6,561.4,obj2,1
5b96dd68d193e30001b3cb69,Mech_Catapult_3,506.6,562.4,obj2,0
5b96dd68d193e30001b3cb69,Mech_Catapult_3,534.6,562.4,obj2,0
5b96dd68d193e30001b3cb69,Mech_Catapult_3,259.6,562.4,obj2,1
5b96dd68d193e30001b3cb69,Mech_Catapult_4,469.6,259.4,obj2,0
5b96dd68d193e30001b3cb69,Mech_Catapult_4,197.6,153.4,obj3,0
5b96dd68d193e30001b3cb69,Mech_Catapult_4,441.6,201.4,obj1,0
5b96dd68d193e30001b3cb69,Mech_Gap_0,348.6,147.4,obj1,1
5b96dd68d193e30001b3cb69,Mech_Gap_1,318.6,314.4,obj3,1
5b96dd68d193e30001b3cb69,Mech_Gap_2,255.6,106.4,obj3,1
5b96dd68d193e30001b3cb69,Mech_Gap_3,230.6,53.4,obj2,0
5b96dd68d193e30001b3cb69,Mech_Gap_3,265.6,39.4,obj1,1
5b96dd68d193e30001b3cb69,Mech_Gap_4,325.6,197.4,obj1,1
5b96dd68d193e30001b3cb69,Playground,260.6,177.0,obj1,0
5b96dd68d193e30001b3cb69,Playground,485.6,298.0,obj3,0
5b96dd68d193e30001b3cb69,Playground,517.6,71.0,obj2,0
5b96dd68d193e30001b3cb69,Playground,301.6,157.0,obj3,0
5b96dd68d193e30001b3cb69,Playground,555.6,417.0,obj1,0
5b96dd68d193e30001b3cb69,Playground,202.6,141.0,obj2,0
5b96dd68d193e30001b3cb69,Playground,524.6,443.0,obj3,0
5b96dd68d193e30001b3cb69,Playground,367.6,84.0,obj3,0
5b96dd68d193e30001b3cb69,Playground,343.6,101.0,obj1,0
5ca3cafa2707e10001a04746,Basic_1,189.0,288.0,obj2,1
5ca3cafa2707e10001a04746,Basic_2,403.0,234.0,obj3,1
5ca3cafa2707e10001a04746,Comp_GapCatapult,493.0,570.0,obj1,0
5ca3cafa2707e10001a04746,Comp_GapCatapult,475.0,574.0,obj1,0
5ca3cafa2707e10001a04746,Comp_GapCatapult,348.0,450.0,obj2,0
5ca3cafa2707e10001a04746,Comp_SoCloseLaunch,260.0,269.0,obj3,1
5ca3cafa2707e10001a04746,Comp_UnboxSlope,399.0,325.0,obj1,0
5ca3cafa2707e10001a04746,Comp_UnboxSlope,253.0,411.0,obj3,0
5ca3cafa2707e10001a04746,Comp_UnboxSlope,409.0,389.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Catapult_0,420.0,455.0,obj2,1
5ca3cafa2707e10001a04746,Mech_Catapult_1,398.0,448.0,obj3,0
5ca3cafa2707e10001a04746,Mech_Catapult_1,363.0,429.0,obj3,0
5ca3cafa2707e10001a04746,Mech_Catapult_1,378.0,508.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Catapult_2,351.0,555.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Catapult_2,315.0,527.0,obj2,1
5ca3cafa2707e10001a04746,Mech_Catapult_3,264.0,559.0,obj2,1
5ca3cafa2707e10001a04746,Mech_Catapult_4,271.0,558.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Catapult_4,274.0,517.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Catapult_4,243.0,224.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Gap_0,348.0,168.0,obj2,0
5ca3cafa2707e10001a04746,Mech_Gap_0,351.0,166.0,obj2,1
5ca3cafa2707e10001a04746,Mech_Gap_1,318.0,452.0,obj1,0
5ca3cafa2707e10001a04746,Mech_Gap_1,336.0,453.0,obj1,1
5ca3cafa2707e10001a04746,Mech_Gap_2,234.0,133.0,obj1,0
5ca3cafa2707e10001a04746,Mech_Gap_2,235.0,302.0,obj1,0
